Document,Topic,Auto_Label,Descriptive_Label,Probability
Antibody response to rubella vaccines.,20,Rubella,Rubella,1.0
"First, Fig. 3.2 shows a case in which neutralization was definitely important, where titers were measured by neutralization or by hemagglutination- inhibition after vaccination with two different strains of rubella vaccines.",20,Rubella,Rubella,1.0
A study of meningococcal Group C polysaccharide vaccine conducted in Quebec showed the difference in function between antibodies measured by ELISA or by bacterial killing.,7,Vaccines,Vaccines – Antibodies,0.9413094111505294
A striking example of the importance of antibody function has been reported after an HIV vaccine trial in Thailand.,4,Hiv,Hiv – Antibody,0.9454761959371522
"It has usually been assumed that T-cell responses are the important protective correlate for bacille Calmette-Guérin (BCG) vaccine and tuberculosis in general, but it has been difficult to prove that assumption. However, although pre- sumably related to T-cell function, it is uncertain as to which, and the mCoP for tuberculosis vaccine in humans remains elusive.28–30 On the other hand, malaria is an example where T-cell responses appear to be crucial, and although antibodies to circumsporozoite protein (CSP) are also generated, they do not appear to be a CoP.31,32 The RTS,S particle containing CSP generates tumor necrosis factor (TNF)-α producing CD4+ cells that appear to predict protection.33 In contrast, a vaccine based on intravenous injection of irradiated sporozoites depends for efficacy on CSP induction of CD8+ T cells that produce inter- feron in the liver, where natural sporozoites must first replicate to launch infection.34",0,Malaria,Malaria,1.0
Although vaccination against chlamydia and tularemia,19,Chlamydia,Chlamydia,1.0
"The live, attenuated intranasal vaccine generates both serum antibody and nasal IgA mucosal antibody.39–41",11,Influenza,Influenza – Vaccine – T11,1.0
"vaccinated children challenged with another dose of the intra- nasal vaccine, virus shedding occurred at a high rate in vac- cinees lacking both responses, at a low rate in vaccinees having both responses, and at an intermediate rate if only one response was present. In the case of inactivated influenza vaccine, two separate antibody responses seem important: that against the viral hemagglutinin and",13,Influenza,Influenza – Vaccinees,1.0
"Pertussis vaccines, whether whole cell or acellular, contain multiple components of the bacteria.",2,Vaccines,Vaccines – Pertussis,0.7963937800045499
A recent illustration of probable cocorrelates is the chim- panzee adenovirus vectored vaccine against Ebola virus.,10,Ebola,Ebola,0.8594170904133026
"Hepatitis B vaccine is highly immunogenic at birth, but anti- bodies are frequently lost later in life.",6,Vaccine,Vaccine – Vaccination – T6,0.8210622770184641
"The current vaccine consists of live varicella virus in large quantity or the gE protein of the virus. In both cases the vaccines elicit both antibodies and cellular responses. This suggests that the cellular immunity is an mCoP, whereas the antibody is an nCoP, which makes sense if the vaccines maintain the viral latency in the dorsal root ganglia, but it is not impossible that the neutralization of virus by antibody in the skin is also important.",7,Vaccines,Vaccines – Antibodies,1.0
Another example is from rotavirus vaccination. IgG anti- bodies can prevent infection when given orally or induced by inactivated rotavirus but the replicating live virus vaccines induce mucosal antibody and are effective.69,-1,Noise / Outlier,Noise / Outlier,0.0
development and selection of immunological assays and associated immune response biomarkers meriting study as correlates in preventive vaccine efficacy trials; and (b) statisti- cal evaluation of the selected biomarkers in efficacy trials for their utility as CoPs.,21,Vaccine,Vaccine – Immune,1.0
"response biomarker measured after vaccination that can be used to reliably predict vaccine efficacy (VE) against a clinical end point. Several approaches to defining and statistically evaluating CoPs based on efficacy trials have been pro- posed.4,91–103 For CoP assessment, these approaches have been applied to search for thresholds of the biomarker that dis- criminate vaccinees into disease cases (and hence unprotected) versus undiseased controls (and hence putatively pro- tected),9,104–108 or to study how protection depends on the distribution of response.109–111 However, many of these CoP methods do not define protected biomarker subgroups in terms of a causal effect of vaccination, such that an association of the biomarker with disease may not reflect a correlation with VE but rather with pathogen exposure or intrinsic sus- ceptibility to the disease.4,112–115 Addressing this limitation, the “VE curve” approach directly assesses how VE varies across vaccinated subgroups defined by the level of the bio- marker.4,113–119 With this approach, the most useful CoP has VE of zero for vaccinees with negative/absent immune response and VE near 100% for vaccinees with response above a thresh- old. A varicella zoster vaccine (VZV) efficacy trial120 illustrates this approach, where VE to prevent herpes zoster varied widely with fold rise in VZV antibody titers (P < .001), with estimated VE of 90% for vaccinees with a 5.26-fold rise compared to 70% and 0% for vaccinees with a 2.39- and zero-fold rise, respec- tively.6",18,Vaccine,Vaccine – Efficacy,1.0
"requires estimation of how the risk of the clinical end point for a placebo recipient depends on an unmeasured variable— the immune response to the vaccine that the individual would have had, if, counter to fact, the individual had been randomly assigned to receive the vaccine. ents.113,114,117,119,121–127 The “baseline immune response predic- tor” technique develops a model from vaccine recipients predicting individual immune response biomarkers from baseline variables, and applies this model to placebo recipi- ents using these baseline variables. The “closeout placebo vac- cination” technique crosses over placebo recipients at the end of study follow-up to receive the vaccine and have the immune response directly measured.",-1,Noise / Outlier,Noise / Outlier,0.0
"Second, statistical methods are needed to develop cocorre- lates, for example, by estimating VE surfaces across vaccinee subgroups defined by the level of two immune response bio- markers114,119 or estimating VE curves for a univariable com- posite biomarker.126 Moreover, for assessing complex correlates3 based on high-dimensional immune response biomarkers, supervised machine learning methods are needed to estimate the best models of VE.88,89,141,142 Third, two types of CoP analy- ses are defined by measuring the immune response biomarker at a fixed time point shortly after vaccination or at serial time points including just before exposure and infection or disease. Fourth, a highly predictive CoP for a particular disease end point, vac- cine, and study population may fail for a different end point, vaccine, or study population,143 indicating that metaanalysis of multiple efficacy trials combined with knowledge of mecha- nisms of protection is needed for bridging CoPs to new settings.4,55,94,97,106,115,144,145",18,Vaccine,Vaccine – Efficacy,1.0
"Lastly, for genetically diverse pathogens, the whole discus- sion above applies to assessing CoPs against particular pheno- types or genotypes of the pathogen (e.g., through pathogen type-specific VE curves), with common application historically to assess serotype- or biotype-specific antibody titers as CoPs against disease with the same type.146–151 In contemporary effi- cacy trials, pathogen genomes infecting study participants are sequenced, enabling a statistical sieve analysis that assesses how VE varies with sequence characteristics.152 Immune response data can inform the sieve analysis by focusing the analysis on putatively protective epitopes such as highly vaccine-reactive peptides or specific reagents that were identi- fied as CoPs.153,154 Moreover, host characteristics other than immune responses (such as demographics, ecological factors, or genetics such as human leukocyte antigen [HLA] types restricting epitope-specific T-cell responses) may affect VE or type-specific VE, such that the overarching goal of VE curve CoP analysis may be stated as estimation of how VE varies jointly in pathogen sequence characteristics, immune response biomarkers, and any other host characteristics.3,73,87,155",18,Vaccine,Vaccine – Efficacy,1.0
The CoP for influenza vaccine appears at first to be straight- forward: hemagglutination-inhibiting antibody or perhaps neutralizing antibody.,13,Influenza,Influenza – Vaccinees,1.0
"A CoP for pertussis vaccine has long been controversial, but the use of acellular vaccines with a variable number of",2,Vaccines,Vaccines – Pertussis,0.7963937800045499
"The importance of CD4+ T cell immunity to protection by the RTS,S malaria vaccine based on CSP was discussed above.",0,Malaria,Malaria,1.0
"For some other agents the two arms of the immune system are synergistic, as in the case of the RTS,S malaria vaccine that induces both types of response against the cir- cumsporozoite antigen of the parasite.167,168 In other cases, the CoP varies with the type of vaccine. Whereas as described above, the canarypox vector/HIV protein vaccine for HIV depends for its efficacy on an ADCC antibody response,156 a rhesus cytomegalovirus vectored vaccine that protected monkeys against SIV acts through induction of effector T cells.66,67 In the case of human cytomegalovirus antibody to surface proteins protect against acquisition by contact,169 but cellular immunity to internal antigens seems to be key in preventing transplant-associated disease in hematogenous stem cell recipients.170",0,Malaria,Malaria,0.8139667410990757
"Mucosal IgA antibody produced by vaccination has been identified to be important to protection against influ- enza39,171 polio,172 and respiratory syncytial virus,173 and probably is important for rotavirus vaccine.70,174 Serum IgG antibody diffusing onto respiratory, gastrointestinal, and genital mucosae undoubtedly also can prevent infection but is poorly characterized.",11,Influenza,Influenza – Vaccine – T11,0.8875146161761618
"Antibodies have varying functions and the mCoP will vary according to the vaccine. For some vaccines we do not know the true mCoP but we can use a nCoP that is not protective but is statistically correlated with protection. In general, there is a spectrum of correlates, ranging from pure antibody to the protective antigen in anthrax vaccine to the resurrection of cellular immunity to varicella virus that results from immunization with zoster vaccine.",-1,Noise / Outlier,Noise / Outlier,0.0
Table 3.4 gives our best estimates of CoPs for currently licensed vaccines.,-1,Noise / Outlier,Noise / Outlier,0.0
Immunologic correlates of protection induced by vaccination.,1,Vaccination,Vaccination,0.9643755902124951
Correlates of protection induced by vaccination. Clin Vaccine Immunol.,1,Vaccination,Vaccination,0.5364532839090431
Complex correlates of protection after vaccination.,1,Vaccination,Vaccination,1.0
A framework for assessing immunological correlates of protection in vaccine trials.,17,Vaccine,Vaccine – Protection,1.0
Vaccines: correlates of vaccine-induced immunity.,7,Vaccines,Vaccines – Antibodies,1.0
Nomenclature for immune correlates of protection after vaccination.,1,Vaccination,Vaccination,1.0
"Andrews NJ, Waight PA, Burbidge P, et al. Serotype-specific effec- tiveness and correlates of protection for the 13-valent pneumo- coccal conjugate vaccine: a postlicensure indirect cohort study.",15,Pneumococcal,Pneumococcal,0.6824879536616388
Duration of antiviral immunity after smallpox vaccination.,1,Vaccination,Vaccination,0.9862787569811304
Mucosal immunity induced by enhance-potency inactivated and oral polio vaccines.,6,Vaccine,Vaccine – Vaccination – T6,0.546456488834327
Protective effects of Towne cytomegalovirus vaccine against low-passage cytomega- lovirus administered as a challenge.,14,Cytomegalovirus,Cytomegalovirus,1.0
Vaccination against the major infectious diseases.,3,Vaccine,Vaccine – Vaccination,0.22186432531723368
Immunologic approaches to assessing the response to inactivated hepatitis A vaccine.,6,Vaccine,Vaccine – Vaccination – T6,1.0
Prevention of Hae- mophilus influenzae type b colonization by vaccination: correla- tion with serum anti-capsular IgG concentration.,-1,Noise / Outlier,Noise / Outlier,0.0
Immunologic properties of RA27-3 rubella virus vaccine.,20,Rubella,Rubella,1.0
Vaccine-induced IgG antibodies to V1V2 regions of multiple HIV-1 subtypes correlate with decreased risk of HIV-1 infection.,9,Hiv,Hiv – Antibodies,1.0
Analysis of V2 antibody responses induced in vaccinees in the ALVAC/AIDSVAX HIV-1 vaccine efficacy trial.,4,Hiv,Hiv – Antibody,1.0
Immune-correlates analysis of an HIV-1 vaccine efficacy trial.,4,Hiv,Hiv – Antibody,1.0
"Haynes BF, Liao HX, Tomaras GD. Is developing an HIV-1 vaccine possible?",9,Hiv,Hiv – Antibodies,0.7595392297265179
Clin Vaccine Immunol.,-1,Noise / Outlier,Noise / Outlier,0.0
Clin Vaccine Immunol.,1,Vaccination,Vaccination,0.5364532839090431
"Khader SA, Bell GK, Pearl JE, et al. IL-23 and IL-17 in the estab- lishment of protective pulmonary CD4+ T cell responses after vaccination and during Mycobacterium tuberculosis challenge.",0,Malaria,Malaria,0.7722655086445711
"The relationship between RTS,S vaccine-induced antibodies, CD4(+) T cell responses and protection against Plasmodium falciparum infection. PLoS",0,Malaria,Malaria,1.0
Live attenuated malaria vaccine designed to protect through hepatic CD8(+),0,Malaria,Malaria,1.0
CD8+ T cells define an unexpected role in live-attenuated vaccine protective immunity against Chlamydia trachomatis infection in macaques.,19,Chlamydia,Chlamydia,1.0
Development of a Chlamydia trachomatis T cell vaccine.,19,Chlamydia,Chlamydia,1.0
"Correlates of immune protection induced by live, attenuated, cold-adapted, trivalent, intranasal influenza virus vaccine.",8,Influenza,Influenza – Vaccine,0.6755686870134086
The role of nasal IgA in chil- dren vaccinated with live attenuated influenza vaccine. Vaccine.,11,Influenza,Influenza – Vaccine – T11,0.6699635907529233
Live attenuated and inactivated influenza vaccines in children.,13,Influenza,Influenza – Vaccinees,0.9729936416061279
"Reber A, Katz J. Immunological assessment of influenza vaccines and immune correlates of protection.",8,Influenza,Influenza – Vaccine,1.0
Influenza vaccine responses in older adults.,8,Influenza,Influenza – Vaccine,0.5569678478431056
Vaccine.,3,Vaccine,Vaccine – Vaccination,1.0
Vaccine.,3,Vaccine,Vaccine – Vaccination,0.9426618107212066
Vaccine.,3,Vaccine,Vaccine – Vaccination,0.8730994379676685
A respiratory challenge model for infection with Bordetella pertussis: application in the assess- ment of pertussis vaccine potency and in defining the mecha- nism of protective immunity.,2,Vaccines,Vaccines – Pertussis,1.0
Investigation of cel- lular and humoral immune responses to whole cell and acellular pertussis vaccines. Vaccine.,2,Vaccines,Vaccines – Pertussis,0.6510154650175154
Correlates of protective immunity for Ebola vaccines: implications for regulatory approval by the animal rule.,10,Ebola,Ebola,1.0
Induction of broad cyto- toxic T cells by protective DNA vaccination against Marburg and Ebola.,10,Ebola,Ebola,0.9666240888212766
"Cooper CL, Bavari S. A race for an Ebola vaccine: promises and obstacles.",10,Ebola,Ebola,1.0
"based measles DNA vaccines protect cotton rats against respira- tory measles: relevance of antibodies, mucosal and systemic antibody-secreting cells, memory B cells, and Th1-type cytokines as correlates of immunity.",7,Vaccines,Vaccines – Antibodies,1.0
"Immunogenicity, safety, and antibody persistence at 3, 5, and 10 years postvaccination in adolescents randomized to booster immunization with a com- bined tetanus, diphtheria, 5-component acellular pertussis, and inactivated poliomyelitis vaccine administered with a hepatitis B virus vaccine concurrently or 1 month apart. Clin Vaccine Immunol.",6,Vaccine,Vaccine – Vaccination – T6,0.8046099080080179
The per- sistence of anti-HBs antibody and anamnestic response 20 years after primary vaccination with recombinant hepatitis B vaccine at infancy.,6,Vaccine,Vaccine – Vaccination – T6,1.0
Varicella-zoster virus-specific immune responses to herpes zoster in elderly participants in a trial of a clinically effec- tive zoster vaccine.,12,Vaccine,Vaccine – Zoster,1.0
Profound early control of highly pathogenic SIV by an effector memory T-cell vaccine.,-1,Noise / Outlier,Noise / Outlier,0.0
recipients of a herpes zoster vaccine.,12,Vaccine,Vaccine – Zoster,1.0
"Sei JJ, Cox KS, Dubey SA, et al. Effector and central memory poly-functional CD4(+) and CD8(+) T cells are boosted upon ZOSTAVAX(R) vaccination.",-1,Noise / Outlier,Noise / Outlier,0.0
Efficacy of an adju- vanted herpes zoster subunit vaccine in older adults.,12,Vaccine,Vaccine – Zoster,1.0
Does a monovalent inactivated human rotavirus vaccine induce heterotypic immunity?,16,Rotavirus,Rotavirus,1.0
"Correlates of protection for rota- virus vaccines: Possible alternative trial endpoints, opportuni- ties, and challenges.",16,Rotavirus,Rotavirus,1.0
Vaccine.,3,Vaccine,Vaccine – Vaccination,1.0
A sequential phase 2b trial design for evaluating vaccine efficacy and immune correlates for multiple HIV vaccine regimens.,4,Hiv,Hiv – Antibody,0.669171652417853
Systems biology approach predicts immunogenicity of the yellow fever vaccine in humans.,22,Vaccines,Vaccines – Immunogenicity,1.0
A whole genome tran- scriptional analysis of the early immune response induced by live attenuated and inactivated influenza vaccines in young chil- dren. Vaccine.,13,Influenza,Influenza – Vaccinees,0.8443842658089606
Pulendran B. Learning immunology from the yellow fever vaccine: innate immunity to systems vaccinology.,22,Vaccines,Vaccines – Immunogenicity,1.0
"Expression of genes associ- ated with immunoproteasome processing of major histocom- patibility complex peptides is indicative of protection with adjuvanted RTS,S malaria vaccine.",0,Malaria,Malaria,0.9693568159093254
Systems scale interac- tive exploration reveals quantitative and qualitative differences in response to influenza and pneumococcal vaccines.,8,Influenza,Influenza – Vaccine,1.0
Molecular signatures of antibody responses derived from a systems biology study of five human vaccines.,22,Vaccines,Vaccines – Immunogenicity,1.0
Vaccine.,3,Vaccine,Vaccine – Vaccination,0.31789056238830043
Serological criteria for evalu- ation and licensure of new pneumococcal conjugate vaccine formulations for use in infants. Vaccine.,15,Pneumococcal,Pneumococcal,1.0
Determining the cutoff based on a continuous variable to define two populations with application to vaccines.,5,Vaccine,Vaccine – Populations,0.7182688951733879
"Kohberger RC, Jemiolo D, Noriega F. Prediction of pertussis vaccine efficacy using a correlates of protection model. Vaccine.",2,Vaccines,Vaccines – Pertussis,1.0
Correlation between immunologic responses to a recombinant glycoprotein 120 vaccine and incidence of HIV-1 infection in a phase 3 HIV-1 preventive vaccine trial.,4,Hiv,Hiv – Antibody,0.99839617311049
Follmann D. Augmented designs to assess immune response in vaccine trials.,21,Vaccine,Vaccine – Immune,1.0
"Evaluating a surrogate endpoint at three levels, with application to vaccine development.",5,Vaccine,Vaccine – Populations,0.7724631786513895
"Huang Y, Gilbert PB, Wolfson J. Design and estimation for evalu- ating principal surrogate markers in vaccine trials.",5,Vaccine,Vaccine – Populations,0.961959875218533
"Fold rise in antibody titers by measured by glycoprotein-based enzyme-linked immunosor- bent assay is an excellent correlate of protection for a herpes zoster vaccine, demonstrated via the vaccine efficacy curve.",12,Vaccine,Vaccine – Zoster,0.7464463517719014
"Efficacy, safety, and tolerability of herpes zoster vaccine in persons aged 50–59 years.",12,Vaccine,Vaccine – Zoster,0.6487233163472068
"Qin L, Gilbert PB, Follmann D, Li D. Assessing surrogate end- points in vaccine trials with case-cohort sampling and the Cox model.",5,Vaccine,Vaccine – Populations,1.0
"Wolfson J, Gilbert P. Statistical identifiability and the surrogate endpoint problem, with application to vaccine trials.",5,Vaccine,Vaccine – Populations,1.0
"FDA/NIH/WHO public workshop on immune correlates of protection against influenza A viruses in support of pandemic vaccine develop- ment, Bethesda, Maryland, US, December 10-11, 2007. Vaccine.",8,Influenza,Influenza – Vaccine,0.8122090844800086
"Protection of Peruvian children against rotavirus diarrhea of specific serotypes by one, two, or three doses of the RIT 4237 attenuated bovine rotavirus vaccine.",16,Rotavirus,Rotavirus,1.0
"Clemens JD, Sack DA, Harris JR, et al. Field trial of oral cholera vaccines in Bangladesh: results from three-year follow-up.",10,Ebola,Ebola,0.8088259622777395
"Gambian Pneumococcal Vaccine Trial G. Efficacy of nine-valent pneumococcal conjugate vaccine against pneumonia and invasive pneumococcal disease in The Gambia: randomised, double-blind, placebo-controlled trial.",15,Pneumococcal,Pneumococcal,1.0
"The impact of quad- rivalent human papillomavirus (HPV; types 6, 11, 16, and 18) L1 virus-like particle vaccine on infection and disease due to oncogenic nonvaccine HPV types in sexually active women aged 16–26 years.",-1,Noise / Outlier,Noise / Outlier,0.0
"Clinical efficacy and safety of a novel tetravalent dengue vaccine in healthy children in Asia: a phase 3, randomised, observer- masked, placebo-controlled trial.",15,Pneumococcal,Pneumococcal,0.894388763908521
The efficacy of influenza vaccination in elderly individuals.,8,Influenza,Influenza – Vaccine,0.46533414628133574
Statistical methods for assessing differential vaccine protection against human immunodefi- ciency virus types.,17,Vaccine,Vaccine – Protection,1.0
Comprehensive sieve analysis of breakthrough HIV-1 sequences in the RV144 vaccine efficacy trial. PLoS,4,Hiv,Hiv – Antibody,0.6640778050704395
"Rolland M, Edlefsen PT, Larsen BB, et al. Increased HIV-1 vaccine efficacy against viruses with genetic signatures in Env V2.",9,Hiv,Hiv – Antibodies,1.0
Advancing toward HIV-1 vaccine effi- cacy through the intersections of immune correlates. Vaccines (Basel).,9,Hiv,Hiv – Antibodies,0.5402902107090753
Vaccine-induced Env V1-V2 IgG3 correlates with lower HIV-1 infection risk and declines soon after vaccination.,9,Hiv,Hiv – Antibodies,1.0
Hemagglutination inhibition antibody titers as a correlate of protection for inactivated influ- enza vaccines in children.,-1,Noise / Outlier,Noise / Outlier,0.0
Relative contribution of Th1 and Th17 cells in adaptive immunity to Bordetella pertussis: towards the rational design of an improved acellular pertussis vaccine.,2,Vaccines,Vaccines – Pertussis,0.6485706472404342
The baboon model of pertussis: effective use and lessons for pertussis vaccines.,2,Vaccines,Vaccines – Pertussis,1.0
Antibody responses to a novel Plasmodium falciparum merozoite surface protein vaccine correlate with protection against experimental malaria infection in Aotus monkeys.,0,Malaria,Malaria,0.6980432129037742
"Protective immunity induced with malaria vaccine, RTS,S, is linked to Plasmodium falciparum circumsporozoite protein-specific CD4+ and CD8+ T cells pro- ducing IFN-gamma.",0,Malaria,Malaria,0.9891798600406349
"A preliminary evaluation of a recombinant circumsporozoite protein vaccine against Plas- modium falciparum malaria. RTS,S Malaria Vaccine Evaluation Group.",0,Malaria,Malaria,1.0
Vaccine prevention of maternal cytomegalovirus infection.,14,Cytomegalovirus,Cytomegalovirus,0.7362315050700975
"A novel therapeutic cytomegalovirus DNA vaccine in allogeneic haemo- poietic stem-cell transplantation: a randomised, double-blind, placebo-controlled, phase 2 trial.",14,Cytomegalovirus,Cytomegalovirus,1.0
Mucosal IgA responses in influenza virus infections; thoughts for vaccine design. Vaccine.,11,Influenza,Influenza – Vaccine – T11,0.8232837099382431
Expert Rev Vaccines.,3,Vaccine,Vaccine – Vaccination,0.30350521174834716
Mucosal vaccines against respiratory syncytial virus.,11,Influenza,Influenza – Vaccine – T11,1.0
