Document,Topic,Topic_Label,Probability
"The pathological perspective, which, according to common interpreta- tions, more or less equates aging with disease, and interprets various behaviors in old age as manifestations of a physical or mental pathol- ogy. Already Aristotle described the aging process as a pathological affliction of the body (the classical metaphor Senectus ipsa morbus).",-1,Noise / Outlier,0.0
"The activity perspective (see Hooyman & Asuman Kiyak, 1988; Kelly, 1993), which according to common interpretations assumes that all kinds of physical and social activity is beneficial for the aging individ- ual, and that lack of this can result in maladjustment.",164,Aging,1.0
"The disengagement perspective (Cumming, Newell, Dean, & McCaf- frey, 1960; Cumming & Henry, 1961; Cumming, 1963), which, ac-",2,Dissatisfaction,0.7793883272209519
"cording to common interpretations, assumes an inherent and natural drive to disengage mentally and socially when growing old.",-1,Noise / Outlier,0.0
"The continuity perspective (Havens, 1968; Atchley, 1999), which, ac- cording to common interpretations, assumes a positive and natural urge to continue the midlife lifestyle and identity into old age.",60,Midlife,0.9580786676326901
"The developmental perspective as described by Erikson (1950, 1982), which, according to common interpretations, assumes a positive devel- opment of the identity into old age.",160,Developmental,1.0
"The Mask of Aging perspective (Featherstone & Hepworth, 1991), which, according to common interpretations, assumes an increasing distance between the real inner self and the betraying aging body.",107,Masks,1.0
"The masquerade perspective, where, according to common interpreta- tions, a masquerade in old age becomes part of a coping strategy to maintain identity as a means of keeping one’s options open (Biggs, 2003, 2004).",60,Midlife,0.7467974825631694
"The SOC perspective, where, according to common interpretations, the behavior is understood as ways to cope with the difficulties in old age by means of Selection, Optimization and Compensation (Baltes & Baltes, 1990).",-1,Noise / Outlier,0.0
"The interesting thing with the above and other perspectives is that the same behavior can be understood quite differently depending on which perspective you take. A lack of interest in participating in parties, as described by Eva, can be understood as differently as a symptom of a beginning dementia (the pathology perspective) or as a way to cope with reduced mobility by means of selecting where and how often to go to parties (the SOC perspective).",4,Depression,0.4516553801376147
"As mentioned in the introduction, it might be that our “understand- ing” of aging and how it ought to be, the normative part of the “under- standing,” is quite affected by our own position in life and society, and not randomly selected from the above mentioned and other possible perspectives. This should, however, not be any surprise, since sociology of science have taught us that science in general and social science, in particular social gerontology, never is absolute or final. It is selective and relative.",68,Elderly,1.0
This relativity exists on several different levels. One level has to do with how the general ideas about aging and elderly people are relative to,57,Elderly,0.6328394950045433
"our own position in life, as described in the introduction to this book. Another level has to do with how the empirical knowledge is directed by the choice of theoretical points of departure. A third level has to do with how the choice itself of theoretical points of departure is relative to cultural and historical relationships. With illustrations from a number of studies, we will show how poorly many of the research findings correlate with our theoretical assumptions, and how difficult it is, despite this, to abandon the theoretical points of departure that we have chosen. We will argue that the usual theoretical points of departure for gerontological research only represent a narrow corridor in a theoretical field, which actually is much broader. We will also argue that it is not just by chance that we choose these very theoretical points of departure. The ways we chose to construct old age in our theories are directed not only by our own position in the life cycle, but also by an overflow of predominant, general values from society into science.",0,Gerontology,1.0
"A national Swedish gerontology research project back in the 1970s, “The Elderly in Society,” started with some theoretical points of departure that were partly new at that time. The most central of these was one which came to be called the resource perspective, which quickly gained great popularity. This perspective is close to what today is known as the salutogenic perspective (Antonovsky, 1987). As opposed to the, at that time, prevailing way to “construct” old age as a misery and old people as a burden, we were encouraged to see older people as resources. This new resource perspective would not only expose a number of popular public myths about the elderly, but would also call our attention to our own theoretical constructions within the discipline of gerontology.",134,Elderly,1.0
"The consciousness that the understanding of aging can be constructed from both a misery perspective and a resource perspective released new knowledge early in the research process. In the first research report from the project we (Tornstam, 1981) could show how younger people overestimated the problem-reality of the elderly, compared with how the elderly themselves defined it. The omission of the everyday reality of the elderly was guided by a misery perspective, rather than anything else. Further information of the same kind was presented later (Tornstam, 1983a) where it was shown that knowledge about the actual conditions of the elderly was vague and that it had a quite pessimistic coloring.",85,Aging,1.0
THE ROOT OF THE MISERY PERSPECTIVE,148,Misery,1.0
"Why do our pictures of the elderly look the way they do? Why do we frequently depict the elderly as sicker, feebler, and more miserable than",-1,Noise / Outlier,0.0
"they are in reality? Above all, why do we still, in gerontology, nurture myths related to these negative images? The sociology of knowledge and the sociology of science give us some useful clues.",155,Myths,1.0
"In the contemporary sociology of knowledge there is evidence that science is not as “scientific” as was once believed. Even if it had long been known that that the direction and speed of scientific development was related to the society in which it was developed, it was later accepted that the core content of science—the concepts, the theories, and the way of interpreting data—was also related to the society around the sheltered scientific community (Young, 1973; Lemaine, et al., 1976).",56,Scientific,0.5553869963114703
"Much of the very substance of science is nothing but “common sense,” which, imported from the surrounding society, becomes an integral part of recognized scientific practice (Elliot, 1974). Holton (1973) argued that all scientists import, from the surrounding society, basic presuppositions that inform and guide their work. They commit themselves to assumptions of conflict or consensus, development or equilibrium, or to a misery or resource perspective. These presuppositions are often taken as “givens,” and can be looked upon as an unconscious overflow from society to science. In the following we are using the term overflow to refer not only to the input of basic presuppositions from society to scientific theory, but also to the fact that such basic presuppositions affect the way in which empirical research is carried out and interpreted.",56,Scientific,1.0
"As a typical example of this phenomenon, Mulkay (1979) analyzed the development of the Darwinian theory and concluded that it was based to a large extent on what he termed “informal thinking.” The major interpretations proposed were not based directly on observation of biolog- ical phenomena. Rather they were taken over from practical activities and from the wider realm of philosophical, theological, and social debate to provide the framework within which the observations were given scientific meaning. Sometimes, as in the above-mentioned case, the overflow from society to science turns out to be fruitful; sometimes it can badly distort science, as in the case of Lysenko, described by Joravsky (1970). Based on dubious genetic research on vegetables, Lysenko came up with the suggestion that acquired qualities could be inherited. An idea which was appealing to the political leaders in the old U.S.S.R., who saw a possibility to create socialist individuals from birth. Lots of resources were invested in Lysenkos’s research before the bubble burst in the mid 1960s. Today the name Lysenko stands for politically directed pseudoscience.",84,Scientists,0.49330270451904484
"Gerontology, too, can be seen to participate in the use of societal overflow in formulating its theoretical points of departure. As Gubrium",0,Gerontology,1.0
"and Wallace (1990) pointed out, there are striking parallels between ordinary people’s way of thinking about age and aging and the theoretical products of professional peers. Estes, Binney and Culbertson (1992) make a similar observation when they point out functionalism as a very powerful ideology affecting gerontology. Functionalism is “ . . . rooted in American traditions of individualism, self-reliance, and independence, and posits that cohe- sion and social harmony are natural” (p. 51). Bengtson, Parrott, and Burgess (1996) conclude that there has not yet been any definable paradigmatic shift in gerontological theorizing. They herein include the very first steps towards the theory of gerotranscendence.",68,Elderly,0.7212368579559503
"Our thesis is, however, that the overflow of functionalistic presuppo- sitions, values, and “common sense” from white middle-class, middle- aged Western European society explains, in part, why gerontology nur- tures some very persistent theoretical assumptions, even when the empiri- cal reality contradicts the theories. As Hickey (1992) observed, there is quite much of the same in the way gerontologists have addressed their issues, despite seemingly new approaches and developments.",0,Gerontology,1.0
The Hidden Contempt for Weakness,-1,Noise / Outlier,0.0
"White, Western, middle-class, middle-life society has, since the Reforma- tion, been characterized by an overwhelmingly strong performance orien- tation. Productivity, effectiveness, and independence are prestige words. What happens to those in our society who do not live up to the ideal of productivity, effectiveness, and independence? The Norwegian philosopher, Harald Ofstad (1972), has in a thought-provoking book, Our Contempt for Weakness, described what happens. Quite simply, we come to look down upon and hold in contempt those who are unproductive, ineffective, and dependent. To the extent that this applies to ourselves, we will do the same. We will regard ourselves with self-contempt. It is here we find the basis for contempt towards unproductive, ineffective, and dependent old people, and a basis for the mismatch between theory",83,Values,1.0
and empirical findings.,29,Pathology,0.9125508778205347
"However, the value patterns of our society have several different cultural sources. One is the old Hebrew tradition, where age and wisdom are held in high esteem. This is in conflict with the value patterns that generate contempt for the elderly. Ofstad suggests that we tend to “solve” this conflict by hiding the contempt, or by changing it into something that allows it to be united with the respect for the elderly found in the Hebrew tradition.",-1,Noise / Outlier,0.0
"What happens, according to Ofstad, is that we transform the con- tempt into a condescending pity. We feel so sorry for the poor, feeble, sick, and lonely old people. We feel so sorry for them to the extent that we force ourselves to “construct” them in a way that confirms that we are right when we feel sorry for them. It is a well-known psychological fact that we often perceive or construct reality in congruence with our need to apprehend it, rather than as it really is. We have a need to perceive the elderly as feeble and weak, in order for us to feel sorry for them. Thus, the false image of the elderly as miserable is produced, and we “solve” the problem of our contempt for unproductive, ineffective, and dependent old people. In other words, the myths—seen from this perspec- tive—have the function of solving the problem of our contempt for weak- ness in the elderly.",85,Aging,1.0
"If among the general population there is a value dependent tendency to adopt a misery perspective towards elderly people, we should not be surprised to find the same tendency within gerontology.",85,Aging,0.4361222400054247
MYTHS WITHIN GERONTOLOGY,0,Gerontology,1.0
"That the researcher also has a tendency to regard the elderly from a misery perspective was demonstrated by A˚ kerman (1981), who carried out a historical research project among elderly persons in a depopulated parish in northern Sweden. He had expected to find abandoned and lonely old people, but instead found well-integrated old people having a rich social life with good contact with their children. The expectations he had corresponded poorly with the reality he met, and he was sufficiently open to note the difference. In the conclusion of the research report A˚ kerman wrote:",134,Elderly,1.0
"Our study has shown that the isolation and the fairly pitiable situation that is often conjured up in the press and on the radio and TV by no means seems to afflict all elderly people, even in a depopulated village. Contacts between the generations in our area of investigation have been unusually many and have been unusually intensive. On the whole, there seems to be reason to vigorously retouch the picture of pensioners as a",-1,Noise / Outlier,0.0
"marginalized group in society. (A˚ kerman, p. 43)",23,Gerontological,0.46088789321365425
"In the following, we will give a couple of examples of central “misery myths” within the discipline that have proved to have a very great vitality",148,Misery,1.0
"during the years. We will also try to further explain why the vitality of these myths is so great, and what is needed in order to reach a breakthrough in theoretical social gerontology.",0,Gerontology,1.0
The Supposed Effects of Modernization,23,Gerontological,1.0
"The expectations A˚ kerman carried with him into his research project are not only derived from general mythical ideas about the elderly, but also from a well-established theoretical background which, at the same time, constitutes an example of how firmly entrenched these theoretical points of departure are, and how difficult they are to revise, even if the empirical reality contradicts the theories. The theoretical background in question focuses on the supposed conditions in the old peasant society, and the negative effects that the modernization of society by industrialization and urbanization is supposed to have had. But, for example, the concept of the happy, extended or three-generation family as the dominating pattern in the old peasant society has, however, been refuted relatively early from several quarters. Hansson (1980) referred to studies that show that neither in Sweden nor in other European countries has the percentage of house- holds with more than two generations ever gone beyond 7 percent, except in exceptional cases. In a convincing analysis, the English historian, Peter Laslett (1976), had earlier arrived at a similar conclusion in regards to England.",23,Gerontological,0.7566951213472921
"Contrary to the common assumption that the processes of industrial- ization and urbanization distanced older people and their children from each other, empirical studies have repeatedly shown that today’s elderly, in general, stand out as being well integrated in society, and as having good contact with their children, with only a small minority being socially isolated (Babchuk & Beates, 1963; Shanas, 1968; Hess, 1972; Roos, 1975; Tornstam, 1978; Atchley, 2000). However, despite numerous empirical studies that contradict the mythical pictures, these myths seem to have a life of their own, unperturbed by contradictory research results. Even scholars find it difficult to abandon these myths. It may be that we hang on to our favorite theories in more ingenious ways.",23,Gerontological,0.21528687906471763
"Being conscious of the contradictory research results, Hareven (1978) once made the assumption that the good social integration and the good contact between the generations, that actually exist today among the elderly, are a result of the structural conditions in society that existed earlier. The idea is that the negative effects of industrialization and urban- ization are not immediate, but instead make themselves felt after a couple",23,Gerontological,1.0
"of generations. In this respect, Hareven built on the theory of cultural lag formulated by Ogburn (1922).",23,Gerontological,1.0
"This is an example of the ingenious way the researcher can save his or her favorite theory. Hareven’s message was that the theory is correct, but that the effect that the theory presupposes has not had time to make itself apparent. The present good social integration and contact between the generations that gerontological studies document are taken to be a remnant of the good relations that existed earlier in society. Now, it just happens to be that these earlier conditions, at least in Europe, were not good at all. Historians have shown that the earlier conditions for the elderly rather could be characterized by poverty and heart-rending con- flicts between generations, and by a poor social integration for the elderly (Gaunt, 1983; Ode´n, 1991, 2002).",23,Gerontological,0.19751758070497988
It appears that we researchers have some difficulties in questioning,29,Pathology,0.5677810440612369
"the popular theoretical points of departure. Instead of doing so, we dis- cover more and more ingenious ways of thinking in order to “preserve” our theories. So, not surprisingly, within the Swedish research program, “The Elderly in Society,” we were also guilty of clinging to this favorite theory about the negative effects on the elderly of industrialism and urbanization. In the same way as Haraven did, we (Tornstam 1983b) referred to the theory of cultural lag in order to “explain away” the good social integration and the good contact between the generations which earlier empirical studies have shown. In fact, the purpose of one of the partial projects within the research program was to examine the effect industrialization and urbanization have had on solidarity between the generations. A hidden hypothesis was that if one just studies the conditions sufficiently and ingeniously, the negative effects will come to the fore. Without presenting a detailed account of the project in question, we would like to quote the conclusion that Hammarstro¨ m (1986) arrived at after careful analysis:",23,Gerontological,0.9883782315338676
"The main tendencies in the study that has been carried out are, thus, that macro-structural changes, such as changes on the labor market and urbanization and industrialization, hardly seem to have had an effect on relations between generations within the same family. (Hammar- stro¨m, p. 229)",23,Gerontological,0.270542850072871
THE “RETIREMENT TRAUMA”,165,Retirement,1.0
"We have already pointed out that in Western society we strongly value productivity, effectiveness and independence. We also value ourselves and",83,Values,1.0
"others in terms of our and their productivity, effectiveness and indepen- dence. When the overflow of these values is combined with role theory, it is not difficult to understand why gerontologists have focused on the importance of working life, or rather the negative effects of ceasing to be gainfully employed.",0,Gerontology,1.0
"Many gerontologists have put forward the hypothesis of the negative effects of retirement, in regard to both psychological well-being and physical health. Even if the discussions sometimes have tried to take into account both positive and negative aspects of retirement, the very frame of reference has mostly taken its point of departure from negative aspects. Retirement has been described as a trauma with numerous negative aspects (Burgess, 1960; Miller, 1965; Maddox, 1968; Blau, 1973; Lowenthal &",61,Retirement,1.0
"Robinson, 1976; Bradford, 1979; Bernard, 1982). The following quotation is typical:",4,Depression,0.5015044928751299
"In addition to his source of income, a man’s job means a point of personal and social anchorage with considerable significance, both for the emer- gence and maintenance of a satisfactory self-identity and for the experi- ence of adequate intercourse with his family and peers. Thus the argument has followed—and with considerable justification—that any tampering with the work role, the great balancing factor in life, runs the risk of creating a profound alienation and disequilibrium among the affected individuals. In an environment characterized by a religious devotion to work and peopled by individuals dedicated to conspicuous production as an important means of self-identification and self-justifica- tion, retirement would be expected to have social as well as economic significance. (Maddox, 1968, p. 359)",-1,Noise / Outlier,0.0
"The trauma of retirement is, however, not a general pattern, as we like to imagine. As early as 1971, Streib and Schneider presented a longitudinal study where 1,969 persons were followed into retirement. Among other things, they studied the subjective life satisfaction both before and after retirement, and did not find any appreciable differences. Atchley (1971, 1980), Parnes and Nestel (1981), and Palmore, et al. (1985) are examples of the many who have arrived at similar conclusions. Streib and Scheider bravely held that prevailing role theory did not seem to be applicable in the later life cycle, but that despite this, researchers continued to base their hypotheses on this theory, perhaps in order to acquire “scientific” arguments in order to bring about sociopolitical changes.",7,Retirement,1.0
"In the third edition of The Encyclopedia of Aging, Ekerdt (2001) concluded:",71,Gerotranscendence,1.0
"Early conceptions about possible retirement adaptation, developed while the retirement role was still gaining popular acceptance, foresaw retire- ment as a stressful transition and a “crisis” for personal identity. Research reports from longitudinal studies of workers’ experience before and after retirement concluded instead that there is likely to be continuity of well- being and activities over the transition from work to retire- ment  Contrary to the widely held notion that retirement often has",7,Retirement,1.0
"negative consequences for health, epidemiological studies have consistently demonstrated that the event of retirement does not influence the risk of decline in physical or mental health. (p. 889)",61,Retirement,1.0
"Interestingly enough, the theoretical descriptions of the negative effects of retirement seem to persist, despite the findings of a number of empirical studies that contradict the theoretical assumptions and the growing knowledge within gerontology. It may even be that some writers try to rescue the “retirement shock” in a more intriguing way, almost touching on the concept of “false consciousness” on behalf of people who might have positive preretirement attitudes. Townsend (1986) thus wrote:",7,Retirement,1.0
Those reaching retirement age do not welcome retirement as warmly as they thought they would or others suppose. Many who have retired deeply regret their inactivity or loss of status   The satisfaction often expressed,7,Retirement,0.5368453239587004
"by many retired people turns on closer examination to be more an assertion of hope, or what they think is expected of them, than a true representation of what they feel. (p. 25)",-1,Noise / Outlier,0.0
"Against the above background, it is illustrative how we also in Sweden have cherished the idea of the traumatic effects of retirement. At the laboratory for stress research between 1976 and 1978, a good thousand office workers were asked questions about their health and well-being immediately prior to retirement and about a year and a half after retire- ment. The analysis of the data was carried out within the framework of the research program, “The Elderly in Society,” and was reported by Rehn (1984).",61,Retirement,0.41823578170663755
"In the study, questions dealt with attitudes about retirement, financial situation, leisure-time activities, and social relations, and about medically treated illness and subjective medical problems. The idea behind the longitudinal study was to capture and describe the consequences of the “retirement shock.” The results of the analysis showed, however, that these effects mainly were conspicuous by their absence. The dominant pattern revealed little or no changes in conditions before and after retire-",61,Retirement,1.0
