solitude_id,solitude_label,gerotranscendence_id,gerotranscendence_label,similarity,relationship,merged_topic,extracted_relations
57,Solitude – Places,33,,0.60496985912323,related,S57: Solitude – Places → G33: ,[]
57,Solitude – Places,92,Solitude – Predictors,0.644243597984314,related,S57: Solitude – Places → G92: Solitude – Predictors,[]
57,Solitude – Places,162,Solitude – Experienced Crisis,0.6070777773857117,related,S57: Solitude – Places → G162: Solitude – Experienced Crisis,[]
67,Solitude – Solitude,6,Solitude – Positive Solitude,0.6774884462356567,related,S67: Solitude – Solitude → G6: Solitude – Positive Solitude,[]
67,Solitude – Solitude,33,,0.6317062377929688,related,S67: Solitude – Solitude → G33: ,[]
67,Solitude – Solitude,76,Solitude – Superficial,0.6638839244842529,related,S67: Solitude – Solitude → G76: Solitude – Superficial,[]
67,Solitude – Solitude,92,Solitude – Predictors,0.6714479923248291,related,S67: Solitude – Solitude → G92: Solitude – Predictors,[]
67,Solitude – Solitude,123,Solitude – Solitude,0.6674185395240784,related,S67: Solitude – Solitude → G123: Solitude – Solitude,[]
67,Solitude – Solitude,162,Solitude – Experienced Crisis,0.6537743210792542,related,S67: Solitude – Solitude → G162: Solitude – Experienced Crisis,[]
72,Aloneness – Enjoyment,92,Solitude – Predictors,0.6128209829330444,related,S72: Aloneness – Enjoyment → G92: Solitude – Predictors,[]
86,Aloneness – Attachment,6,Solitude – Positive Solitude,0.6782880425453186,related,S86: Aloneness – Attachment → G6: Solitude – Positive Solitude,[]
86,Aloneness – Attachment,33,,0.6071213483810425,related,S86: Aloneness – Attachment → G33: ,[]
86,Aloneness – Attachment,76,Solitude – Superficial,0.6258459091186523,related,S86: Aloneness – Attachment → G76: Solitude – Superficial,[]
86,Aloneness – Attachment,92,Solitude – Predictors,0.6494725346565247,related,S86: Aloneness – Attachment → G92: Solitude – Predictors,[]
86,Aloneness – Attachment,123,Solitude – Solitude,0.6126570701599121,related,S86: Aloneness – Attachment → G123: Solitude – Solitude,[]
86,Aloneness – Attachment,162,Solitude – Experienced Crisis,0.6090124249458313,related,S86: Aloneness – Attachment → G162: Solitude – Experienced Crisis,[]
86,Aloneness – Attachment,169,Crises – Solitude Individual Experienced,0.6142618060112,related,S86: Aloneness – Attachment → G169: Crises – Solitude Individual Experienced,[]
97,Loneliness – Romantic Loneliness,92,Solitude – Predictors,0.6390315294265747,related,S97: Loneliness – Romantic Loneliness → G92: Solitude – Predictors,[]
106,Solitary – Leisure,92,Solitude – Predictors,0.6424609422683716,related,S106: Solitary – Leisure → G92: Solitude – Predictors,[]
130,Solitude – Peer Adversity,6,Solitude – Positive Solitude,0.6545193195343018,related,S130: Solitude – Peer Adversity → G6: Solitude – Positive Solitude,[]
130,Solitude – Peer Adversity,33,,0.6005715131759644,related,S130: Solitude – Peer Adversity → G33: ,[]
130,Solitude – Peer Adversity,76,Solitude – Superficial,0.7065990567207336,related,S130: Solitude – Peer Adversity → G76: Solitude – Superficial,[]
130,Solitude – Peer Adversity,92,Solitude – Predictors,0.6569181084632874,related,S130: Solitude – Peer Adversity → G92: Solitude – Predictors,[]
130,Solitude – Peer Adversity,162,Solitude – Experienced Crisis,0.6480011940002441,related,S130: Solitude – Peer Adversity → G162: Solitude – Experienced Crisis,[]
141,Solitude – Instruction,6,Solitude – Positive Solitude,0.6277991533279419,related,S141: Solitude – Instruction → G6: Solitude – Positive Solitude,[]
141,Solitude – Instruction,76,Solitude – Superficial,0.6269594430923462,related,S141: Solitude – Instruction → G76: Solitude – Superficial,[]
141,Solitude – Instruction,92,Solitude – Predictors,0.6557613611221313,related,S141: Solitude – Instruction → G92: Solitude – Predictors,[]
141,Solitude – Instruction,123,Solitude – Solitude,0.6207691431045532,related,S141: Solitude – Instruction → G123: Solitude – Solitude,[]
155,Solitude – Digital,92,Solitude – Predictors,0.643765926361084,related,S155: Solitude – Digital → G92: Solitude – Predictors,[]
157,Ostracism – Desire Solitude,6,Solitude – Positive Solitude,0.6091288328170776,related,S157: Ostracism – Desire Solitude → G6: Solitude – Positive Solitude,[]
157,Ostracism – Desire Solitude,33,,0.6074233651161194,related,S157: Ostracism – Desire Solitude → G33: ,[]
157,Ostracism – Desire Solitude,76,Solitude – Superficial,0.6604448556900024,related,S157: Ostracism – Desire Solitude → G76: Solitude – Superficial,[]
157,Ostracism – Desire Solitude,92,Solitude – Predictors,0.6599083542823792,related,S157: Ostracism – Desire Solitude → G92: Solitude – Predictors,[]
171,Aloneness – Partner,76,Solitude – Superficial,0.6199472546577454,related,S171: Aloneness – Partner → G76: Solitude – Superficial,[]
171,Aloneness – Partner,92,Solitude – Predictors,0.6334643959999084,related,S171: Aloneness – Partner → G92: Solitude – Predictors,[]
175,Loneliness – Isolation Loneliness Solitude,33,,0.6481025815010071,related,S175: Loneliness – Isolation Loneliness Solitude → G33: ,[]
175,Loneliness – Isolation Loneliness Solitude,52,Solitude – Seekers,0.6260809898376465,related,S175: Loneliness – Isolation Loneliness Solitude → G52: Solitude – Seekers,[]
175,Loneliness – Isolation Loneliness Solitude,76,Solitude – Superficial,0.6228518486022949,related,S175: Loneliness – Isolation Loneliness Solitude → G76: Solitude – Superficial,[]
175,Loneliness – Isolation Loneliness Solitude,92,Solitude – Predictors,0.6351410746574402,related,S175: Loneliness – Isolation Loneliness Solitude → G92: Solitude – Predictors,[]
175,Loneliness – Isolation Loneliness Solitude,123,Solitude – Solitude,0.6470904350280762,related,S175: Loneliness – Isolation Loneliness Solitude → G123: Solitude – Solitude,[]
175,Loneliness – Isolation Loneliness Solitude,162,Solitude – Experienced Crisis,0.6613375544548035,related,S175: Loneliness – Isolation Loneliness Solitude → G162: Solitude – Experienced Crisis,[]
176,Solitude – Motives Solitude,6,Solitude – Positive Solitude,0.7295730710029602,related,S176: Solitude – Motives Solitude → G6: Solitude – Positive Solitude,[]
176,Solitude – Motives Solitude,33,,0.6583297252655029,related,S176: Solitude – Motives Solitude → G33: ,[]
176,Solitude – Motives Solitude,52,Solitude – Seekers,0.6514814496040344,related,S176: Solitude – Motives Solitude → G52: Solitude – Seekers,[]
176,Solitude – Motives Solitude,76,Solitude – Superficial,0.7005357146263123,related,S176: Solitude – Motives Solitude → G76: Solitude – Superficial,[]
176,Solitude – Motives Solitude,92,Solitude – Predictors,0.7296284437179565,related,S176: Solitude – Motives Solitude → G92: Solitude – Predictors,[]
176,Solitude – Motives Solitude,123,Solitude – Solitude,0.7230516672134399,related,S176: Solitude – Motives Solitude → G123: Solitude – Solitude,[]
176,Solitude – Motives Solitude,162,Solitude – Experienced Crisis,0.6200479865074158,related,S176: Solitude – Motives Solitude → G162: Solitude – Experienced Crisis,[]
178,Loneliness – Motivation,33,,0.620696485042572,related,S178: Loneliness – Motivation → G33: ,[]
178,Loneliness – Motivation,76,Solitude – Superficial,0.6054251790046692,related,S178: Loneliness – Motivation → G76: Solitude – Superficial,[]
178,Loneliness – Motivation,92,Solitude – Predictors,0.6229049563407898,related,S178: Loneliness – Motivation → G92: Solitude – Predictors,[]
180,Solitude – Lay,33,,0.6172500848770142,related,S180: Solitude – Lay → G33: ,[]
180,Solitude – Lay,48,Solitude – Need Solitude,0.6786661744117737,related,S180: Solitude – Lay → G48: Solitude – Need Solitude,[]
180,Solitude – Lay,92,Solitude – Predictors,0.6133509874343872,related,S180: Solitude – Lay → G92: Solitude – Predictors,[]
180,Solitude – Lay,123,Solitude – Solitude,0.6268641948699951,related,S180: Solitude – Lay → G123: Solitude – Solitude,[]
180,Solitude – Lay,162,Solitude – Experienced Crisis,0.687699556350708,related,S180: Solitude – Lay → G162: Solitude – Experienced Crisis,[]
191,Loneliness – Positive Representations,6,Solitude – Positive Solitude,0.6405971050262451,related,S191: Loneliness – Positive Representations → G6: Solitude – Positive Solitude,[]
191,Loneliness – Positive Representations,33,,0.6556141376495361,related,S191: Loneliness – Positive Representations → G33: ,[]
191,Loneliness – Positive Representations,76,Solitude – Superficial,0.6374520063400269,related,S191: Loneliness – Positive Representations → G76: Solitude – Superficial,[]
191,Loneliness – Positive Representations,92,Solitude – Predictors,0.6440836191177368,related,S191: Loneliness – Positive Representations → G92: Solitude – Predictors,[]
191,Loneliness – Positive Representations,123,Solitude – Solitude,0.6065357327461243,related,S191: Loneliness – Positive Representations → G123: Solitude – Solitude,[]
200,Solitude – Children Spend Time,162,Solitude – Experienced Crisis,0.6446104645729065,related,S200: Solitude – Children Spend Time → G162: Solitude – Experienced Crisis,[]
207,Solitude – Development Solitude,6,Solitude – Positive Solitude,0.6099271774291992,related,S207: Solitude – Development Solitude → G6: Solitude – Positive Solitude,[]
207,Solitude – Development Solitude,76,Solitude – Superficial,0.6126881837844849,related,S207: Solitude – Development Solitude → G76: Solitude – Superficial,[]
207,Solitude – Development Solitude,92,Solitude – Predictors,0.6686251759529114,related,S207: Solitude – Development Solitude → G92: Solitude – Predictors,[]
207,Solitude – Development Solitude,123,Solitude – Solitude,0.6206673383712769,related,S207: Solitude – Development Solitude → G123: Solitude – Solitude,[]
207,Solitude – Development Solitude,162,Solitude – Experienced Crisis,0.6433151364326477,related,S207: Solitude – Development Solitude → G162: Solitude – Experienced Crisis,[]
209,Solitude – Solitude Peer Adversities,6,Solitude – Positive Solitude,0.668236255645752,related,S209: Solitude – Solitude Peer Adversities → G6: Solitude – Positive Solitude,[]
209,Solitude – Solitude Peer Adversities,76,Solitude – Superficial,0.685461699962616,related,S209: Solitude – Solitude Peer Adversities → G76: Solitude – Superficial,[]
209,Solitude – Solitude Peer Adversities,92,Solitude – Predictors,0.6561587452888489,related,S209: Solitude – Solitude Peer Adversities → G92: Solitude – Predictors,[]
209,Solitude – Solitude Peer Adversities,123,Solitude – Solitude,0.6052115559577942,related,S209: Solitude – Solitude Peer Adversities → G123: Solitude – Solitude,[]
209,Solitude – Solitude Peer Adversities,162,Solitude – Experienced Crisis,0.6557049751281738,related,S209: Solitude – Solitude Peer Adversities → G162: Solitude – Experienced Crisis,[]
213,Solitude – Ultimately,6,Solitude – Positive Solitude,0.6046326756477356,related,S213: Solitude – Ultimately → G6: Solitude – Positive Solitude,[]
213,Solitude – Ultimately,76,Solitude – Superficial,0.6367886066436768,related,S213: Solitude – Ultimately → G76: Solitude – Superficial,[]
213,Solitude – Ultimately,92,Solitude – Predictors,0.6823723912239075,related,S213: Solitude – Ultimately → G92: Solitude – Predictors,[]
213,Solitude – Ultimately,162,Solitude – Experienced Crisis,0.6970463395118713,related,S213: Solitude – Ultimately → G162: Solitude – Experienced Crisis,[]
226,Solitude – Time Viewed,6,Solitude – Positive Solitude,0.711749255657196,related,S226: Solitude – Time Viewed → G6: Solitude – Positive Solitude,[]
226,Solitude – Time Viewed,33,,0.6614534258842468,related,S226: Solitude – Time Viewed → G33: ,[]
226,Solitude – Time Viewed,76,Solitude – Superficial,0.6685644388198853,related,S226: Solitude – Time Viewed → G76: Solitude – Superficial,[]
226,Solitude – Time Viewed,92,Solitude – Predictors,0.7005301713943481,related,S226: Solitude – Time Viewed → G92: Solitude – Predictors,[]
226,Solitude – Time Viewed,123,Solitude – Solitude,0.6419941782951355,related,S226: Solitude – Time Viewed → G123: Solitude – Solitude,[]
226,Solitude – Time Viewed,162,Solitude – Experienced Crisis,0.6781182289123535,related,S226: Solitude – Time Viewed → G162: Solitude – Experienced Crisis,[]
226,Solitude – Time Viewed,169,Crises – Solitude Individual Experienced,0.6436400413513184,related,S226: Solitude – Time Viewed → G169: Crises – Solitude Individual Experienced,[]
229,Solitude – Feelings Dissatisfaction,6,Solitude – Positive Solitude,0.6866698861122131,related,S229: Solitude – Feelings Dissatisfaction → G6: Solitude – Positive Solitude,[]
229,Solitude – Feelings Dissatisfaction,33,,0.6985322833061218,related,S229: Solitude – Feelings Dissatisfaction → G33: ,[]
229,Solitude – Feelings Dissatisfaction,52,Solitude – Seekers,0.6283157467842102,related,S229: Solitude – Feelings Dissatisfaction → G52: Solitude – Seekers,[]
229,Solitude – Feelings Dissatisfaction,76,Solitude – Superficial,0.7249844670295715,related,S229: Solitude – Feelings Dissatisfaction → G76: Solitude – Superficial,[]
229,Solitude – Feelings Dissatisfaction,92,Solitude – Predictors,0.7966012358665466,strong_match,S229: Solitude – Feelings Dissatisfaction → G92: Solitude – Predictors,[]
229,Solitude – Feelings Dissatisfaction,123,Solitude – Solitude,0.7103239297866821,related,S229: Solitude – Feelings Dissatisfaction → G123: Solitude – Solitude,[]
229,Solitude – Feelings Dissatisfaction,162,Solitude – Experienced Crisis,0.6601446866989136,related,S229: Solitude – Feelings Dissatisfaction → G162: Solitude – Experienced Crisis,[]
242,Solitude – Likelihood Engaging,6,Solitude – Positive Solitude,0.6588662266731262,related,S242: Solitude – Likelihood Engaging → G6: Solitude – Positive Solitude,[]
242,Solitude – Likelihood Engaging,33,,0.6233184933662415,related,S242: Solitude – Likelihood Engaging → G33: ,[]
242,Solitude – Likelihood Engaging,76,Solitude – Superficial,0.6772921681404114,related,S242: Solitude – Likelihood Engaging → G76: Solitude – Superficial,[]
242,Solitude – Likelihood Engaging,92,Solitude – Predictors,0.706419825553894,related,S242: Solitude – Likelihood Engaging → G92: Solitude – Predictors,[]
242,Solitude – Likelihood Engaging,123,Solitude – Solitude,0.631416380405426,related,S242: Solitude – Likelihood Engaging → G123: Solitude – Solitude,[]
242,Solitude – Likelihood Engaging,162,Solitude – Experienced Crisis,0.6449787616729736,related,S242: Solitude – Likelihood Engaging → G162: Solitude – Experienced Crisis,[]
243,Solitude – Implications Peer Relations,6,Solitude – Positive Solitude,0.6647526025772095,related,S243: Solitude – Implications Peer Relations → G6: Solitude – Positive Solitude,[]
243,Solitude – Implications Peer Relations,33,,0.6235181093215942,related,S243: Solitude – Implications Peer Relations → G33: ,[]
243,Solitude – Implications Peer Relations,76,Solitude – Superficial,0.720517098903656,related,S243: Solitude – Implications Peer Relations → G76: Solitude – Superficial,[]
243,Solitude – Implications Peer Relations,92,Solitude – Predictors,0.6827732920646667,related,S243: Solitude – Implications Peer Relations → G92: Solitude – Predictors,[]
243,Solitude – Implications Peer Relations,123,Solitude – Solitude,0.6405344605445862,related,S243: Solitude – Implications Peer Relations → G123: Solitude – Solitude,[]
243,Solitude – Implications Peer Relations,162,Solitude – Experienced Crisis,0.6459901332855225,related,S243: Solitude – Implications Peer Relations → G162: Solitude – Experienced Crisis,[]
